125 0.223015  2.46674e-09 4.35307e-10 0.0928541 0.0001
126 0.223995  2.47218e-09 4.36266e-10 0.0930579 0.0001
127 0.224975  2.4776e-09 4.37224e-10 0.0932613 0.0001
128 0.225955  2.48302e-09 4.3818e-10 0.0934643 0.0001
129 0.226935  2.48842e-09 4.39133e-10 0.0936668 0.0001
130 0.227916  2.49381e-09 4.40085e-10 0.0938688 0.0001
131 0.228896  2.49919e-09 4.41034e-10 0.0940705 0.0001
132 0.229876  2.50456e-09 4.41981e-10 0.0942717 0.0001
133 0.230856  2.50992e-09 4.42927e-10 0.0944724 0.0001
134 0.231836  2.51526e-09 4.4387e-10 0.0946728 0.0001
135 0.232817  2.5206e-09 4.44811e-10 0.0948727 0.0001
136 0.233797  2.52592e-09 4.45751e-10 0.0950722 0.0001
137 0.234777  2.53123e-09 4.46688e-10 0.0952713 0.0001
138 0.235757  2.53653e-09 4.47623e-10 0.09547 0.0001
139 0.236737  2.54182e-09 4.48557e-10 0.0956682 0.0001
140 0.237718  2.5471e-09 4.49488e-10 0.0958661 0.0001
141 0.238698  2.55237e-09 4.50418e-10 0.0960635 0.0001
142 0.239678  2.55762e-09 4.51346e-10 0.0962606 0.0001
143 0.240658  2.56287e-09 4.52271e-10 0.0964572 0.0001
144 0.241638  2.56811e-09 4.53195e-10 0.0966534 0.0001
145 0.242619  2.57333e-09 4.54117e-10 0.0968493 0.0001
146 0.243599  2.57854e-09 4.55037e-10 0.0970447 0.0001
147 0.244579  2.58375e-09 4.55955e-10 0.0972398 0.0001
148 0.245559  2.58894e-09 4.56872e-10 0.0974344 0.0001
149 0.246539  2.59412e-09 4.57786e-10 0.0976287 0.0001
150 0.24752  2.5993e-09 4.58699e-10 0.0978226 0.0001
151 0.2485  2.60446e-09 4.5961e-10 0.0980161 0.0001
152 0.24948  2.60961e-09 4.60519e-10 0.0982092 0.0001
153 0.25046  2.61475e-09 4.61427e-10 0.0984019 0.0001
154 0.25144  2.61988e-09 4.62332e-10 0.0985943 0.0001
155 0.25242  2.625e-09 4.63236e-10 0.0987863 0.0001
156 0.253401  2.63012e-09 4.64138e-10 0.0989779 0.0001
