# Particle 0, r = 1.00000 AU, Hd = 1.713804e-03 AU, sigma_dust = 3.330000e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.00349555  1.38830394e-06
 -0.00328370  1.63449104e-06
 -0.00307184  1.90480011e-06
 -0.00285999  2.19727870e-06
 -0.00264814  2.50893702e-06
 -0.00243629  2.83571937e-06
 -0.00222444  3.17252911e-06
 -0.00201259  3.51331312e-06
 -0.00180074  3.85120801e-06
 -0.00158889  4.17874595e-06
 -0.00137703  4.48811358e-06
 -0.00116518  4.77145227e-06
 -0.00095333  5.02118479e-06
 -0.00074148  5.23034940e-06
 -0.00052963  5.39292119e-06
 -0.00031778  5.50410008e-06
 -0.00010593  5.56054611e-06
  0.00010593  5.56054611e-06
  0.00031778  5.50410008e-06
  0.00052963  5.39292119e-06
  0.00074148  5.23034940e-06
  0.00095333  5.02118479e-06
  0.00116518  4.77145227e-06
  0.00137703  4.48811358e-06
  0.00158889  4.17874595e-06
  0.00180074  3.85120801e-06
  0.00201259  3.51331312e-06
  0.00222444  3.17252911e-06
  0.00243629  2.83571937e-06
  0.00264814  2.50893702e-06
  0.00285999  2.19727870e-06
  0.00307184  1.90480011e-06
  0.00328370  1.63449104e-06
  0.00349555  1.38830394e-06
  0.00370740  1.16722732e-06
  0.00391925  9.71393538e-07
  0.00413110  8.00209772e-07
  0.00434295  6.52501278e-07
  0.00455480  5.26656876e-07
  0.00476666  4.20768313e-07
  0.00497851  3.32756977e-07
  0.00519036  2.60483482e-07
  0.00540221  2.01837605e-07
  0.00561406  1.54807806e-07
  0.00582591  1.17531019e-07
  0.00603776  8.83244670e-08
  0.00624962  6.57019749e-08
  0.00646147  4.83776422e-08
  0.00667332  3.52598003e-08
  0.00688517  2.54380534e-08
  0.00709702  1.81658940e-08
  0.00730887  1.28409913e-08
  0.00752072  8.98481639e-09
  0.00773257  6.22284145e-09
  0.00794443  4.26616001e-09
  0.00815628  2.89503902e-09
  0.00836813  1.94464610e-09
  0.00857998  1.29299132e-09
  0.00879183  8.50980324e-10
  0.00900368  5.54386061e-10
  0.00921553  3.57498285e-10
  0.00942739  2.28194145e-10
  0.00963924  1.44179631e-10
  0.00985109  9.01721026e-11
  0.01006294  5.58225099e-11
  0.01027479  3.42070324e-11
  0.01048664  2.07486724e-11

# Particle 7, r = 1.34334 AU, Hd = 2.175962e-03 AU, sigma_dust = 2.873100e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01087981  1.96303676e-11
 -0.01066002  3.23633535e-11
 -0.01044022  5.28138074e-11
 -0.01022043  8.53120376e-11
 -0.01000063  1.36408687e-10
 -0.00978084  2.15895016e-10
 -0.00956105  3.38229965e-10
 -0.00934125  5.24505952e-10
 -0.00912146  8.05114478e-10
 -0.00890166  1.22330212e-09
 -0.00868187  1.83983424e-09
 -0.00846207  2.73900320e-09
 -0.00824228  4.03622398e-09
 -0.00802249  5.88744487e-09
 -0.00780269  8.50055584e-09
 -0.00758290  1.21488920e-08
 -0.00736310  1.71867949e-08
 -0.00714331  2.40670019e-08
 -0.00692352  3.33593797e-08
 -0.00670372  4.57702006e-08
 -0.00648393  6.21607924e-08
 -0.00626413  8.35639851e-08
 -0.00604434  1.11196373e-07
 -0.00582455  1.46464028e-07
 -0.00560475  1.90959031e-07
 -0.00538496  2.46444033e-07
 -0.00516516  3.14822155e-07
 -0.00494537  3.98089886e-07
 -0.00472557  4.98271304e-07
 -0.00450578  6.17332988e-07
 -0.00428599  7.57080340e-07
 -0.00406619  9.19037702e-07
 -0.00384640  1.10431651e-06
 -0.00362660  1.31347761e-06
 -0.00340681  1.54639580e-06
 -0.00318702  1.80213584e-06
 -0.00296722  2.07885052e-06
 -0.00274743  2.37371119e-06
 -0.00252763  2.68288074e-06
 -0.00230784  3.00153723e-06
 -0.00208804  3.32395378e-06
 -0.00186825  3.64363692e-06
 -0.00164846  3.95352134e-06
 -0.00142866  4.24621477e-06
 -0.00120887  4.51428217e-06
 -0.00098907  4.75055469e-06
 -0.00076928  4.94844582e-06
 -0.00054949  5.10225538e-06
 -0.00032969  5.20744199e-06
 -0.00010990  5.26084570e-06
  0.00010990  5.26084570e-06
  0.00032969  5.20744199e-06
  0.00054949  5.10225538e-06
  0.00076928  4.94844582e-06
  0.00098907  4.75055469e-06
  0.00120887  4.51428217e-06
  0.00142866  4.24621477e-06
  0.00164846  3.95352134e-06
  0.00186825  3.64363692e-06
  0.00208804  3.32395378e-06
  0.00230784  3.00153723e-06
  0.00252763  2.68288074e-06
  0.00274743  2.37371119e-06
  0.00296722  2.07885052e-06
  0.00318702  1.80213584e-06
  0.00340681  1.54639580e-06
  0.00362660  1.31347761e-06
  0.00384640  1.10431651e-06
  0.00406619  9.19037702e-07
  0.00428599  7.57080340e-07
  0.00450578  6.17332988e-07
  0.00472557  4.98271304e-07
  0.00494537  3.98089886e-07
  0.00516516  3.14822155e-07
  0.00538496  2.46444033e-07
  0.00560475  1.90959031e-07
  0.00582455  1.46464028e-07
  0.00604434  1.11196373e-07
  0.00626413  8.35639851e-08
  0.00648393  6.21607924e-08
  0.00670372  4.57702006e-08
  0.00692352  3.33593797e-08
  0.00714331  2.40670019e-08
  0.00736310  1.71867949e-08
  0.00758290  1.21488920e-08
  0.00780269  8.50055584e-09
  0.00802249  5.88744487e-09
  0.00824228  4.03622398e-09
  0.00846207  2.73900320e-09
  0.00868187  1.83983424e-09
  0.00890166  1.22330212e-09
  0.00912146  8.05114478e-10
  0.00934125  5.24505952e-10
  0.00956105  3.38229965e-10
  0.00978084  2.15895016e-10
  0.01000063  1.36408687e-10
