index,radius_AU,mass,size
223,1.264985e+00,0.000000e+00,0.000000e+00
224,1.264985e+00,0.000000e+00,0.000000e+00
225,1.264985e+00,0.000000e+00,0.000000e+00
226,1.264986e+00,0.000000e+00,0.000000e+00
227,1.264986e+00,0.000000e+00,0.000000e+00
228,1.264987e+00,0.000000e+00,0.000000e+00
229,1.264987e+00,0.000000e+00,0.000000e+00
230,1.264988e+00,0.000000e+00,0.000000e+00
231,1.264988e+00,0.000000e+00,0.000000e+00
232,1.264988e+00,0.000000e+00,0.000000e+00
233,1.264989e+00,0.000000e+00,0.000000e+00
234,1.264989e+00,0.000000e+00,0.000000e+00
235,1.264990e+00,0.000000e+00,0.000000e+00
236,1.264990e+00,0.000000e+00,0.000000e+00
237,1.264990e+00,0.000000e+00,0.000000e+00
238,1.264991e+00,0.000000e+00,0.000000e+00
239,1.264991e+00,0.000000e+00,0.000000e+00
240,1.264992e+00,0.000000e+00,0.000000e+00
241,1.264992e+00,0.000000e+00,0.000000e+00
242,1.264992e+00,0.000000e+00,0.000000e+00
243,1.264993e+00,0.000000e+00,0.000000e+00
244,1.264993e+00,0.000000e+00,0.000000e+00
245,1.264993e+00,0.000000e+00,0.000000e+00
246,1.264994e+00,0.000000e+00,0.000000e+00
247,1.264994e+00,0.000000e+00,0.000000e+00
248,1.264994e+00,0.000000e+00,0.000000e+00
249,1.264995e+00,0.000000e+00,0.000000e+00
250,1.264995e+00,0.000000e+00,0.000000e+00
251,1.264995e+00,0.000000e+00,0.000000e+00
252,1.264996e+00,0.000000e+00,0.000000e+00
253,1.264996e+00,0.000000e+00,0.000000e+00
254,1.264996e+00,0.000000e+00,0.000000e+00
255,1.264997e+00,0.000000e+00,0.000000e+00
256,1.264997e+00,0.000000e+00,0.000000e+00
257,1.264997e+00,0.000000e+00,0.000000e+00
258,1.264998e+00,0.000000e+00,0.000000e+00
259,1.264998e+00,0.000000e+00,0.000000e+00
260,1.264998e+00,0.000000e+00,0.000000e+00
261,1.264999e+00,0.000000e+00,0.000000e+00
262,1.264999e+00,0.000000e+00,0.000000e+00
263,1.264999e+00,0.000000e+00,0.000000e+00
264,1.265000e+00,0.000000e+00,0.000000e+00
265,1.265000e+00,0.000000e+00,0.000000e+00
266,1.265000e+00,0.000000e+00,0.000000e+00
267,1.265000e+00,0.000000e+00,0.000000e+00
268,1.265001e+00,0.000000e+00,0.000000e+00
269,1.265001e+00,0.000000e+00,0.000000e+00
270,1.265001e+00,0.000000e+00,0.000000e+00
271,1.265001e+00,0.000000e+00,0.000000e+00
272,1.265002e+00,0.000000e+00,0.000000e+00
273,1.265002e+00,0.000000e+00,0.000000e+00
274,1.265002e+00,0.000000e+00,0.000000e+00
275,1.265003e+00,0.000000e+00,0.000000e+00
276,1.265003e+00,0.000000e+00,0.000000e+00
277,1.265003e+00,0.000000e+00,0.000000e+00
278,1.265003e+00,0.000000e+00,0.000000e+00
279,1.265004e+00,0.000000e+00,0.000000e+00
280,1.265004e+00,0.000000e+00,0.000000e+00
281,1.265004e+00,0.000000e+00,0.000000e+00
282,1.265004e+00,0.000000e+00,0.000000e+00
283,1.265004e+00,0.000000e+00,0.000000e+00
284,1.265005e+00,0.000000e+00,0.000000e+00
285,1.265005e+00,0.000000e+00,0.000000e+00
286,1.265005e+00,0.000000e+00,0.000000e+00
287,1.265005e+00,0.000000e+00,0.000000e+00
288,1.265006e+00,0.000000e+00,0.000000e+00
289,1.265006e+00,0.000000e+00,0.000000e+00
290,1.265006e+00,0.000000e+00,0.000000e+00
291,1.265006e+00,0.000000e+00,0.000000e+00
292,1.265007e+00,0.000000e+00,0.000000e+00
293,1.265007e+00,0.000000e+00,0.000000e+00
294,1.265007e+00,0.000000e+00,0.000000e+00
295,1.265007e+00,0.000000e+00,0.000000e+00
296,1.265007e+00,0.000000e+00,0.000000e+00
297,1.265008e+00,0.000000e+00,0.000000e+00
298,1.265008e+00,0.000000e+00,0.000000e+00
299,1.265008e+00,0.000000e+00,0.000000e+00
300,1.265008e+00,0.000000e+00,0.000000e+00
301,1.265008e+00,0.000000e+00,0.000000e+00
302,1.265009e+00,0.000000e+00,0.000000e+00
303,1.265009e+00,0.000000e+00,0.000000e+00
304,1.265009e+00,0.000000e+00,0.000000e+00
305,1.265009e+00,0.000000e+00,0.000000e+00
306,1.265009e+00,0.000000e+00,0.000000e+00
